TAG;FECHA;HORA;LAT;LONG;TEMP C;HUM %;PRES kPa;ALT M;PM 10
1;11/05/2021;15:48:12;32.648399;-115.415695;30.55;41.15;100.66;55.81;29.88
1;11/05/2021;15:48:13;32.648403;-115.415695;30.54;41.14;100.67;55.46;31.45
1;11/05/2021;15:48:14;32.648403;-115.415695;30.55;41.17;100.66;55.33;23.05
1;11/05/2021;15:48:15;32.648403;-115.415695;30.55;41.17;100.66;55.40;35.55
1;11/05/2021;15:48:16;32.648403;-115.415702;30.56;41.16;100.66;55.50;26.37
1;11/05/2021;15:48:17;32.648399;-115.415702;30.54;41.21;100.67;54.99;28.71
1;11/05/2021;15:48:18;32.648399;-115.415702;30.55;41.17;100.66;55.40;28.71
1;11/05/2021;15:48:19;32.648395;-115.415702;30.55;41.18;100.66;55.10;25.78
1;11/05/2021;15:48:20;32.648395;-115.415710;30.55;41.36;100.66;55.10;70.12
1;11/05/2021;15:48:21;32.648391;-115.415710;30.54;41.27;100.66;55.71;17.97
1;11/05/2021;15:48:22;32.648391;-115.415710;30.55;41.16;100.67;55.10;25.20
